#          time         x_star         y_star           x_p1           y_p1           x_p2           y_p2           x_p3           y_p3           x_p4           y_p4 
             0     0.00167727      0.0064821      -0.461325       -1.94607      -0.900695       0.434453      -0.181475      -0.465904     -0.0385246      -0.196255 
     0.0192308     0.00151495     0.00652633      -0.415668       -1.95633      -0.927444       0.373945     -0.0916872      -0.491759       0.103194      -0.177103 
     0.0384615     0.00135244     0.00656292      -0.369785       -1.96553      -0.950112       0.311822     0.00122347      -0.500923       0.202234     -0.0788094 
     0.0576923     0.00119127     0.00659328      -0.323701       -1.97366      -0.968604       0.248355      0.0941391      -0.493145       0.224004      0.0537336 
     0.0769231     0.00103184     0.00661907      -0.277441       -1.98072      -0.982841       0.183826       0.183967      -0.468763       0.168458       0.170917 
     0.0961538    0.000873723     0.00664153       -0.23103        -1.9867      -0.992767       0.118518       0.267753      -0.428683      0.0590734       0.235908 
      0.115385    0.000716089     0.00666142      -0.184493        -1.9916      -0.998339      0.0527164       0.342791      -0.374332      -0.068425       0.229235 
      0.134615     0.00055788      0.0066789      -0.137855       -1.99541      -0.999537     -0.0132894       0.406705      -0.307592       -0.17285       0.150344 
      0.153846    0.000398062     0.00669342      -0.091143       -1.99815      -0.996358     -0.0792107       0.457527      -0.230721      -0.214725      0.0210642 
      0.173077    0.000236089     0.00670365     -0.0443811       -1.99979      -0.988819      -0.144759       0.493746      -0.146266      -0.170511      -0.112666 
      0.192308    7.25494e-05     0.00670793     0.00240495       -2.00035      -0.976956      -0.209649       0.514342     -0.0569678      -0.052182      -0.193651 
      0.211538   -9.07258e-05      0.0067053      0.0491897       -1.99982      -0.960822      -0.273597         0.5188       0.034329      0.0896926      -0.185877 
      0.230769   -0.000251651     0.00669628      0.0959477        -1.9982      -0.940488      -0.336323       0.507105       0.124766       0.195392     -0.0976482 
          0.25   -0.000408978     0.00668249       0.142653       -1.99549      -0.916047      -0.397554       0.479734       0.211555       0.228984      0.0304347 
      0.269231   -0.000562545     0.00666571       0.189282       -1.99171      -0.887604      -0.457023        0.43762       0.292054       0.185732       0.151366 
      0.288462   -0.000712987     0.00664743       0.235807       -1.98684      -0.855286      -0.514471        0.38212       0.363834      0.0836679       0.226954 
      0.307692   -0.000861457     0.00662866       0.282204       -1.98089      -0.819234      -0.569647       0.314969       0.424744      -0.044703       0.233107 
      0.326923    -0.00100945     0.00660975       0.328448       -1.97386      -0.779606      -0.622311       0.238229       0.472959      -0.157627       0.163675 
      0.346154    -0.00115854     0.00659024       0.374514       -1.96576      -0.736574      -0.672231       0.154232       0.507026      -0.211541      0.0368093 
      0.365385    -0.00130983     0.00656867       0.420376        -1.9566      -0.690327       -0.71919      0.0655184       0.525899      -0.178007      -0.101395 
      0.384615    -0.00146316      0.0065431        0.46601       -1.94637      -0.641065      -0.762981     -0.0252265       0.528971     -0.0663184      -0.191391 
